"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[51]",-3.15347861740925,0.0687522574445495,-3.28953699531111,-3.19973579290552,-3.15343051938686,-3.10706313272475,-3.01803115257644,1.00116097861719,3000
"mu[52]",-4.82987199900555,0.163467147396267,-5.15327735507586,-4.93802780059192,-4.82861420708047,-4.72078735650674,-4.51544281603197,1.00050808818161,3000
"mu[53]",-4.11480945587117,0.161678630609854,-4.42696507770956,-4.22380144795196,-4.11587209921898,-4.00426929140098,-3.79772962232152,1.00053114701267,3000
"mu[54]",-3.72569432785579,0.161503391434948,-4.04142427453928,-3.83635357356063,-3.72715488707952,-3.61644497945298,-3.41159514416792,1.00053820549411,3000
"mu[55]",-3.70200100997746,0.16086985071805,-4.01655194773039,-3.81095637787034,-3.70278262724531,-3.59162954428126,-3.39498386977191,1.00055236496748,3000
"mu[56]",-3.8566154341131,0.15993313352046,-4.16911971748507,-3.96326052876187,-3.8605257054243,-3.74804690276554,-3.54851965249907,1.00063270878189,3000
"mu[57]",-4.18235406246298,0.161235685886309,-4.49666528623029,-4.28994887059881,-4.18120967240333,-4.07455560344855,-3.87071972104141,1.00050350310299,3000
"mu[58]",-4.61653008395178,0.165098087160831,-4.9466485551244,-4.72707946035096,-4.61906574872561,-4.5029672443069,-4.29023031217156,1.00050522466721,3000
"mu[59]",-5.15589913871003,0.16851186183558,-5.48724079441859,-5.26908411442662,-5.15935963892463,-5.04225653497231,-4.8197730291122,1.00060142514362,3000
"mu[60]",-3.94108044007422,0.211519166756282,-4.34491028231617,-4.07963840768585,-3.94418923367089,-3.80058621531743,-3.52769315929498,1.00134522518199,2800
"mu[61]",-3.59224264004378,0.209948453266987,-4.00558333818564,-3.73057092647652,-3.59419104081754,-3.45250458252242,-3.19036990664439,1.00172556288511,1700
"mu[62]",-3.17401973780659,0.20873094384347,-3.5830120187583,-3.31128367751955,-3.17474867990805,-3.03530902931305,-2.77094716699133,1.00190956886603,1400
"mu[63]",-2.85195484285239,0.208953787624404,-3.26039062688548,-2.98921304336727,-2.85565613159355,-2.71041337792797,-2.44789231587894,1.00180263708966,1700
"mu[64]",-3.00528949285766,0.207600200471152,-3.41036492858853,-3.14166737822952,-3.00468343009998,-2.86507167130211,-2.59639842193485,1.00200745559453,1600
"mu[65]",-3.10588877555694,0.208484144777352,-3.51417530856296,-3.24369566805836,-3.10663868449979,-2.96815029023368,-2.70693481474754,1.00161579430667,1800
"mu[66]",-3.4628815201707,0.209964803469449,-3.87987682279435,-3.6003913546591,-3.46059967381457,-3.31955029566809,-3.06194683390899,1.00206903224851,1300
"mu[67]",-3.95735188094139,0.214556849911581,-4.38860818351945,-4.10033978957395,-3.95533903958641,-3.81668700961743,-3.54485778095096,1.0019217826754,1500
"mu[68]",-4.08831781786865,0.214094258888038,-4.51575791269902,-4.23143587549317,-4.09015728609181,-3.94402375420648,-3.675904298598,1.00248124388564,1100
"mu[69]",-4.27938594143003,0.0707684351889407,-4.41899635923025,-4.32733493674418,-4.28134881175041,-4.23266113261165,-4.13830845644335,1.00236599460752,1100
"mu[70]",-4.07347616372596,0.0664523195027877,-4.20411430923832,-4.11768410639823,-4.07319680261863,-4.02780975173872,-3.94516842377982,1.00091415204598,3000
"mu[71]",-3.70689732888758,0.0618056249486583,-3.82692812903322,-3.74744185981715,-3.70707936044834,-3.66463272805968,-3.58905286800624,1.00064895688634,3000
"mu[72]",-3.38112441494085,0.0597226227714762,-3.49955711971554,-3.42150653197297,-3.38054413182961,-3.3409290420528,-3.26751817102779,1.00094732149294,3000
"mu[73]",-3.37519744593255,0.0598439252501713,-3.49389301607692,-3.41555333895555,-3.3750786049669,-3.33437225242165,-3.25894336281575,1.00093451472318,3000
"mu[74]",-3.40918647064697,0.0589774592918028,-3.52815861140886,-3.44673067334647,-3.40772949112977,-3.37011058068008,-3.29584026660509,1.00162687527238,1800
"mu[75]",-3.62084512558871,0.0615322287570591,-3.74241281819384,-3.66181282603991,-3.62041047345369,-3.57849374572862,-3.504587078175,1.00057244941407,3000
"mu[76]",-3.97594250001965,0.0644542062073286,-4.1014120899796,-4.01945059229791,-3.97564789676027,-3.93059503697587,-3.85383872729327,1.00066424571813,3000
"mu[77]",-4.27004536571256,0.0677309502316992,-4.4051500238291,-4.31586762469989,-4.26919395920668,-4.22512268969282,-4.13439242489193,1.00081119389351,3000
"mu[78]",-3.84978241723008,0.0686967013322895,-3.98376372765408,-3.89546805118426,-3.8499470026625,-3.80428701338728,-3.7149543880568,1.00095621252416,3000
"mu[79]",-3.58070349410603,0.0645578633298817,-3.71169133580642,-3.62328820713537,-3.57954605386289,-3.53753242263805,-3.45407540728543,1.00057451838113,3000
"mu[80]",-3.13260984327942,0.0615896827609506,-3.25569652456028,-3.17410004565396,-3.13311348235834,-3.09139067229136,-3.01310914559917,1.00111143857593,3000
"mu[81]",-2.74245879790521,0.0605070685110031,-2.8625215626312,-2.78300613482645,-2.74139742822734,-2.7010243240518,-2.62413596817875,1.00087045632545,3000
"mu[82]",-2.711974475332,0.0605814785294868,-2.83387747034157,-2.7530474663765,-2.71300133598006,-2.66925719030236,-2.59687205506314,1.00103687080252,3000
"mu[83]",-2.72674215597644,0.0593276521439893,-2.84336132100927,-2.7665032666573,-2.72592292349073,-2.68620599112787,-2.61470705367319,1.00175984531867,1600
"mu[84]",-3.03911872048677,0.0617227307416738,-3.16141357363679,-3.07949772242656,-3.03796844045257,-2.99863316604198,-2.91936544520179,1.00095564914832,3000
"mu[85]",-3.37158674785931,0.0644355571677857,-3.50168657693813,-3.41500604285581,-3.36994755955523,-3.32767607450314,-3.2475751308491,1.000928050416,3000
"mu[86]",-3.71442053735102,0.0705787512072891,-3.85434267031134,-3.76058405391006,-3.71336326518074,-3.66765172284439,-3.58050793217241,1.00117119305225,3000
"mu[87]",-4.78197282123679,0.347071747681938,-5.47127584322722,-5.0060269097692,-4.77838050983857,-4.55199104458498,-4.10033256460772,1.00084787172489,3000
"mu[88]",-4.73617286087245,0.346795494591349,-5.43521015118413,-4.96282316936914,-4.73473117978099,-4.5045687248871,-4.0629742758019,1.00075828116471,3000
"mu[89]",-4.43915930227754,0.343835468883751,-5.12599997428084,-4.66238765506513,-4.43765710181208,-4.21119543414289,-3.76659207783722,1.00079735922097,3000
"mu[90]",-3.98123402071392,0.344039311670271,-4.67458180258258,-4.20702868932194,-3.98267156879683,-3.751110958845,-3.30784915230394,1.00082759802599,3000
"mu[91]",-3.99098464805063,0.34573545857503,-4.68909486505888,-4.21855141645122,-3.98828851539507,-3.76293413100593,-3.3263089846003,1.00091783705062,3000
"mu[92]",-4.41403243445555,0.345136459964576,-5.10895161871524,-4.64228143764686,-4.4109914821286,-4.18277125862798,-3.74196748358559,1.00074646673582,3000
"mu[93]",-5.33752928787245,0.348903161646901,-6.0467897485186,-5.56706079358861,-5.3371312581762,-5.10028868977859,-4.66129313871649,1.00062055237167,3000
