age_group,year,median,lower,upper,age_group_cat,STATEFIP,bpl,no_mig,prop_mig,pop,state_fip,state,origin_original,origin,df,se,se_log,se_logit
20,2017,0.015197788436434526,0.009118900010572318,0.024079582532990185,20-24,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
20,2018,0.015631288205906133,0.008733721138812347,0.02641974236788057,20-24,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
25,2001,0.03390616513068328,0.025682152344927447,0.043853102747730834,25-29,1,200,3362,0.024576023391812866,136800,01,Alabama,Mexico,Mexico,2.9,0.017359327101261337,0.706352155696773,0.7241488548937974
25,2002,0.03570776253440297,0.02670486266315547,0.04772993265955907,25-29,1,200,6250,0.046157141063608235,135407,01,Alabama,Mexico,Mexico,2.9,0.02364616550130179,0.5122970131255634,0.537087433559878
25,2003,0.03694319712579919,0.027341984038443904,0.04922313104869534,25-29,1,200,4463,0.033634280891086124,132692,01,Alabama,Mexico,Mexico,2.9,0.020524041172369705,0.6102119810092048,0.6314503597787817
25,2004,0.03858505508461207,0.02898684703960983,0.05117600649514107,25-29,1,200,8272,0.057200547664818066,144614,01,Alabama,Mexico,Mexico,2.9,0.025323749041026994,0.4427186464965036,0.46957881169738874
25,2005,0.038226971556057115,0.029388910571525095,0.048996079413064074,25-29,1,200,5232,0.038243936669444326,136806,01,Alabama,Mexico,Mexico,2.2,0.011350146503913668,0.2967829018758435,0.30858438349542194
25,2006,0.037321762930293316,0.028161946606364754,0.04773603128207299,25-29,1,200,4220,0.028538967186950523,147868,01,Alabama,Mexico,Mexico,2.2,0.009478399229833272,0.3321213121604233,0.34187816180202624
25,2007,0.03797915914844374,0.02901723014811678,0.04904117185131399,25-29,1,200,4811,0.03130306914523297,153691,01,Alabama,Mexico,Mexico,2.2,0.009723071559767775,0.310610806712174,0.32064807559377173
25,2008,0.03869587968520815,0.029648954142747607,0.04962478731970091,25-29,1,200,4821,0.03085736230678145,156235,01,Alabama,Mexico,Mexico,2.2,0.009576886988096108,0.3103598711025089,0.32024168479599296
25,2009,0.04115303866017238,0.03315463921760348,0.0519399258213345,25-29,1,200,7665,0.04641713043425602,165133,01,Alabama,Mexico,Mexico,2,0.010302651796482723,0.22195796465865383,0.23276211406747707
25,2010,0.042960209818376345,0.034715971980703295,0.05492416065744889,25-29,1,200,7836,0.0530560012999939,147693,01,Alabama,Mexico,Mexico,2,0.011606386867263245,0.21875728631785485,0.23101396346370173
25,2011,0.040142567253804516,0.032124188829617394,0.05138686483750787,25-29,1,200,6166,0.042144546361734994,146306,01,Alabama,Mexico,Mexico,2,0.010452909838698867,0.2480252070808752,0.2589380330182284
25,2012,0.03870861560570605,0.031005423318186332,0.04972083992249068,25-29,1,200,7234,0.04905936766720469,147454,01,Alabama,Mexico,Mexico,1.9,0.010633606732209443,0.21674977150832336,0.2279319698187727
25,2013,0.035642894931415765,0.028373199822354242,0.0452494204888922,25-29,1,200,5984,0.040176713082945036,148942,01,Alabama,Mexico,Mexico,1.9,0.009619343882334966,0.23942585503387945,0.24944784972128928
25,2014,0.030564118461699413,0.023554972732190604,0.039135350868093347,25-29,1,200,3404,0.022979659895632918,148131,01,Alabama,Mexico,Mexico,1.9,0.007359898446238227,0.3202788239540878,0.32781182827767436
25,2015,0.02709521080764261,0.02037282152516919,0.03510546401206209,25-29,1,200,3747,0.024364234578096246,153791,01,Alabama,Mexico,Mexico,1.9,0.007432347042568811,0.3050515302972245,0.3126694829246118
25,2016,0.025237371001291174,0.018093595199711692,0.0334486442745801,25-29,1,200,2722,0.016619652953315994,163782,01,Alabama,Mexico,Mexico,1.9,0.005971863203626722,0.35932538545789555,0.3653981763384146
25,2017,0.02581487376778981,0.017889986022499277,0.03660257913142009,25-29,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
25,2018,0.02633437143907105,0.017342703346783676,0.039263438756773704,25-29,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
30,2001,0.034365021504915244,0.026544655802461743,0.04250891208798584,30-34,1,200,1515,0.010518276807720345,144035,01,Alabama,Mexico,Mexico,2.9,0.011147194629685404,1.0597928570869553,1.0710585473654195
30,2002,0.034894608361996524,0.025874813190042947,0.04441605474605958,30-34,1,200,2513,0.01750890076431612,143527,01,Alabama,Mexico,Mexico,2.9,0.014356559176678624,0.8199577671910676,0.8345701735404454
30,2003,0.03562073124107759,0.02638782865403615,0.04540874327705601,30-34,1,200,5587,0.037726548361829135,148092,01,Alabama,Mexico,Mexico,2.9,0.020531959811445438,0.5442310707708211,0.5655679992462892
30,2004,0.03601142292938368,0.02617372352345267,0.045761234949300095,30-34,1,200,4471,0.0322150649200928,138786,01,Alabama,Mexico,Mexico,2.9,0.019654840361772473,0.6101133246363128,0.6304224239509758
30,2005,0.03580831545866093,0.02644510098798278,0.0450283396678941,30-34,1,200,3276,0.024153413992170046,135633,01,Alabama,Mexico,Mexico,2.2,0.009125099956011962,0.3777975220799055,0.38714847958373055
30,2006,0.035796657245094086,0.026100651261060145,0.044367528335706855,30-34,1,200,3459,0.025558043136124843,135339,01,Alabama,Mexico,Mexico,2.2,0.009390107918147752,0.3674032424209883,0.37703963774654337
30,2007,0.03677942456003425,0.027086626389310652,0.04582404882522009,30-34,1,200,4358,0.03160031904865492,137910,01,Alabama,Mexico,Mexico,2.2,0.010311348171979921,0.32630519192238433,0.33695301469102684
30,2008,0.03682320777711531,0.027332105624257343,0.045714020344957515,30-34,1,200,3886,0.027915262881895306,139207,01,Alabama,Mexico,Mexico,2.2,0.009664572851614732,0.3462110635498538,0.3561531730003806
30,2009,0.03734299063368471,0.028384213033629677,0.046059038683369816,30-34,1,200,4643,0.03266497819051639,142140,01,Alabama,Mexico,Mexico,2,0.009382510938644973,0.2872345692050391,0.29693390886204246
30,2010,0.038687287756650715,0.02974738812037152,0.047695866165472355,30-34,1,200,4364,0.03005799457247944,145186,01,Alabama,Mexico,Mexico,2,0.008917397120269068,0.2966730564398224,0.30586679902481184
30,2011,0.03980768481191321,0.03208893023797913,0.04957582528433098,30-34,1,200,6071,0.04167410315902195,145678,01,Alabama,Mexico,Mexico,2,0.010419343384894357,0.25001961878185475,0.2608920614647047
30,2012,0.04099051861051081,0.033676131209431866,0.05154099248991309,30-34,1,200,7989,0.05508781365714404,145023,01,Alabama,Mexico,Mexico,1.9,0.011325991959701168,0.20559886493575447,0.2175851554327971
30,2013,0.03945481168773498,0.03226684233654602,0.049583629710430246,30-34,1,200,6381,0.0417632043981936,152790,01,Alabama,Mexico,Mexico,1.9,0.009675135619632586,0.23166650545739895,0.24176331624992992
30,2014,0.0378265202169777,0.030800045276123893,0.04746538741544637,30-34,1,200,6961,0.046597093455253806,149387,01,Alabama,Mexico,Mexico,1.9,0.010309377560838993,0.22124507767289966,0.23205832094084972
30,2015,0.03384062819175003,0.026885717479520954,0.04273089275949986,30-34,1,200,4688,0.03182706930262872,147296,01,Alabama,Mexico,Mexico,1.9,0.00864670245434172,0.2716776204596241,0.28060856882657914
30,2016,0.03195335193049762,0.024699132338419548,0.0405748693318314,30-34,1,200,4079,0.02787706480956254,146321,01,Alabama,Mexico,Mexico,1.9,0.008135832243628236,0.2918468030693619,0.3002159423511488
30,2017,0.03221495909507377,0.023678679981430164,0.04322626000880929,30-34,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
30,2018,0.032617022151396356,0.023644854721782398,0.04432190132292568,30-34,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
35,2001,0.028463256991103802,0.021805574485095652,0.0352818542341199,35-39,1,200,1468,0.008999399222667697,163122,01,Alabama,Mexico,Mexico,2.9,0.009696407643288281,1.0774505501283862,1.0872350120506922
35,2002,0.02819643501739998,0.0202477030738467,0.03514906675656477,35-39,1,200,2262,0.014478838620477764,156228,01,Alabama,Mexico,Mexico,2.9,0.012532676234800618,0.8655857395271578,0.8783025402676488
35,2003,0.028087095763576212,0.019434475861218603,0.03548395031468814,35-39,1,200,334,0.0023259214897039674,143599,01,Alabama,Mexico,Mexico,2.9,0.005271565150425852,2.2664415689700657,2.2717254239523434
35,2004,0.02826183917284657,0.019947365400610356,0.03570377965530047,35-39,1,200,3399,0.02242602183881503,151565,01,Alabama,Mexico,Mexico,2.9,0.015771568658686123,0.7032709043111981,0.7194042804147155
35,2005,0.028451838845416556,0.0197518390280258,0.035760971460101265,35-39,1,200,2905,0.01966252208226447,147743,01,Alabama,Mexico,Mexico,2.2,0.007906681342150492,0.40211938779116707,0.4101846525803338
35,2006,0.02846176741416678,0.020045240013884642,0.03562066648011224,35-39,1,200,2337,0.01535308145607915,152217,01,Alabama,Mexico,Mexico,2.2,0.006898374044926259,0.44931527684918293,0.45632121361190336
35,2007,0.02945587021712304,0.021322267879129157,0.036659618106053095,35-39,1,200,3753,0.024145917776491024,155430,01,Alabama,Mexico,Mexico,2.2,0.008522895330802674,0.3529745860023074,0.36170836647836285
35,2008,0.02935844719329966,0.021299024038975607,0.03659323465554453,35-39,1,200,2888,0.019081346794228026,151352,01,Alabama,Mexico,Mexico,2.2,0.007697810309803901,0.40342070152681436,0.4112682537011424
35,2009,0.03011565828644951,0.022368508638981897,0.037100760375550934,35-39,1,200,1718,0.0116631930536792,147301,01,Alabama,Mexico,Mexico,2,0.00556680440456583,0.47729677275724763,0.4829292700652915
35,2010,0.033258104048134694,0.02714429499623505,0.042190678240260106,35-39,1,200,6136,0.04084648617703251,150221,01,Alabama,Mexico,Mexico,2,0.01016257306022988,0.24879919942646556,0.25939455555431223
35,2011,0.03485738166852258,0.028586281727958327,0.044285063758505445,35-39,1,200,6714,0.04728468705763041,141991,01,Alabama,Mexico,Mexico,2,0.011208797325744112,0.2370492018289741,0.24881430854393477
35,2012,0.03406006646387642,0.02780336321867204,0.043914227740039155,35-39,1,200,5744,0.03973161790136266,144570,01,Alabama,Mexico,Mexico,1.9,0.009711728830310573,0.2444332585302924,0.2545468153351993
35,2013,0.03379910646041747,0.027226242249602618,0.0427868742895497,35-39,1,200,4846,0.0336864642420198,143856,01,Alabama,Mexico,Mexico,1.9,0.008992779697817836,0.2669552860522663,0.27626156125699464
